M1_P1,M1_P2,M2_P1,M2_P2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.192708975305346364e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.187264105065997777e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.696111573564406783e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.130772890387129026e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.664292463209629647e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.617210869547514696e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.245597483794002702e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.147999352855630706e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.149337800469657500e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.146566402598818257e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.070575962032322304e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.116399394114135468e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.108287793487361172e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.093451758986083933e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.060087760247265365e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.149041153652295533e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.077505220661159280e+00,2.000000000000000000e+00
8.243789342812647414e-01,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
9.610084624959865929e-01,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
9.978377515564016420e-01,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.007192605158123477e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.015415529270908834e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.064523529660301948e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.058453777556140230e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.050717998201543102e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.116899264069795450e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.170755925639643813e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.133485166058558757e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.148614308884933655e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.166755389145878175e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.197930958913292487e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.151003806220515013e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.226795702793451293e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.169169503191153314e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.167382588431720825e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.175731314314217180e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
1.148313583129768389e+00,5.000000000000000000e-01,-1.020601711009288426e+00,2.000000000000000000e+00
