M1_P1,M1_P2,M2_P1,M2_P2
8.636492526806769376e-01,5.000000000000000000e-01,-1.117310775800175682e+00,2.000000000000000000e+00
8.608976938245864741e-01,5.000000000000000000e-01,-1.114226040047584965e+00,2.000000000000000000e+00
8.522184299455966006e-01,5.000000000000000000e-01,-1.113897340417954407e+00,2.000000000000000000e+00
8.537491353721976539e-01,5.000000000000000000e-01,-1.116360353212678014e+00,2.000000000000000000e+00
8.502695767349068845e-01,5.000000000000000000e-01,-1.117287600646255319e+00,2.000000000000000000e+00
8.443288365730949874e-01,5.000000000000000000e-01,-1.114767982888952735e+00,2.000000000000000000e+00
8.458385772689619442e-01,5.000000000000000000e-01,-1.110383003765851084e+00,2.000000000000000000e+00
8.390118719353871768e-01,5.000000000000000000e-01,-1.112739551889769363e+00,2.000000000000000000e+00
8.480563060268280218e-01,5.000000000000000000e-01,-1.112468372193006427e+00,2.000000000000000000e+00
8.551554601156435842e-01,5.000000000000000000e-01,-1.107072329205059047e+00,2.000000000000000000e+00
8.644299462511132459e-01,5.000000000000000000e-01,-1.104487734073857474e+00,2.000000000000000000e+00
8.785913430028511328e-01,5.000000000000000000e-01,-1.100435846185360722e+00,2.000000000000000000e+00
8.971999476374813431e-01,5.000000000000000000e-01,-1.095999408099939787e+00,2.000000000000000000e+00
9.063180859267794265e-01,5.000000000000000000e-01,-1.094740112610987692e+00,2.000000000000000000e+00
9.221501901388663436e-01,5.000000000000000000e-01,-1.086996836410394796e+00,2.000000000000000000e+00
9.370651508599583401e-01,5.000000000000000000e-01,-1.082418587731125648e+00,2.000000000000000000e+00
9.518886403386283002e-01,5.000000000000000000e-01,-1.076408489173726668e+00,2.000000000000000000e+00
9.675987367619534041e-01,5.000000000000000000e-01,-1.072099752156914443e+00,2.000000000000000000e+00
9.820432684688227276e-01,5.000000000000000000e-01,-1.067261020071516242e+00,2.000000000000000000e+00
9.957043302373984606e-01,5.000000000000000000e-01,-1.063875049667784678e+00,2.000000000000000000e+00
1.006634635703647973e+00,5.000000000000000000e-01,-1.062969107837025806e+00,2.000000000000000000e+00
1.018255299111002543e+00,5.000000000000000000e-01,-1.057787950276233513e+00,2.000000000000000000e+00
1.032121523675221697e+00,5.000000000000000000e-01,-1.055182238599605027e+00,2.000000000000000000e+00
1.042703927793338758e+00,5.000000000000000000e-01,-1.052975743232614558e+00,2.000000000000000000e+00
1.057952852451016001e+00,5.000000000000000000e-01,-1.050392141550622771e+00,2.000000000000000000e+00
1.069571940264913756e+00,5.000000000000000000e-01,-1.049195974212745908e+00,2.000000000000000000e+00
1.083596867894461857e+00,5.000000000000000000e-01,-1.046536099865200020e+00,2.000000000000000000e+00
1.098968194223451933e+00,5.000000000000000000e-01,-1.044932802375492242e+00,2.000000000000000000e+00
1.111520886230130678e+00,5.000000000000000000e-01,-1.044347372830265908e+00,2.000000000000000000e+00
1.122437331874227340e+00,5.000000000000000000e-01,-1.044115620314960413e+00,2.000000000000000000e+00
1.130856733743455633e+00,5.000000000000000000e-01,-1.042612528538673367e+00,2.000000000000000000e+00
1.141120383304519370e+00,5.000000000000000000e-01,-1.039187041333483386e+00,2.000000000000000000e+00
1.148235233813828637e+00,5.000000000000000000e-01,-1.039106620995378538e+00,2.000000000000000000e+00
1.153077946739760495e+00,5.000000000000000000e-01,-1.036677075841923257e+00,2.000000000000000000e+00
1.155781334820560335e+00,5.000000000000000000e-01,-1.033984253750271032e+00,2.000000000000000000e+00
1.159276915724996027e+00,5.000000000000000000e-01,-1.034436722698707234e+00,2.000000000000000000e+00
1.158072486367801357e+00,5.000000000000000000e-01,-1.032192890328678558e+00,2.000000000000000000e+00
1.155263734927295394e+00,5.000000000000000000e-01,-1.032570124673775291e+00,2.000000000000000000e+00
1.149135005988021874e+00,5.000000000000000000e-01,-1.029312493907519777e+00,2.000000000000000000e+00
