M1_P1,M1_P2,M2_P1,M2_P2
8.482720360654046887e-01,5.000000000000000000e-01,-1.126245246324982574e+00,2.000000000000000000e+00
8.466272382170233479e-01,4.999999999999998890e-01,-1.126134758087484977e+00,2.000000000000000000e+00
8.446706842677110805e-01,5.000000000000000000e-01,-1.125932568453254623e+00,2.000000000000000000e+00
8.428608286370132818e-01,5.000000000000000000e-01,-1.125582295564250490e+00,2.000000000000000000e+00
8.416459846982486948e-01,5.000000000000000000e-01,-1.125007250807941395e+00,2.000000000000000000e+00
8.415181113571480465e-01,5.000000000000001110e-01,-1.124111241438141784e+00,2.000000000000000000e+00
8.431882555866120343e-01,4.999999999999999445e-01,-1.122784313003712953e+00,2.000000000000000000e+00
8.475677646223015449e-01,5.000000000000000000e-01,-1.120913694777721847e+00,2.000000000000000000e+00
8.554373507799148957e-01,5.000000000000000000e-01,-1.118399073770010688e+00,2.000000000000000000e+00
8.633981913005092101e-01,5.000000000000000000e-01,-1.115169714416758939e+00,2.000000000000000000e+00
8.744121260904949011e-01,5.000000000000000000e-01,-1.111810881366054549e+00,2.000000000000000000e+00
8.875067066800041982e-01,5.000000000000000000e-01,-1.107803784802206204e+00,2.000000000000000000e+00
9.017130334558751681e-01,5.000000000000000000e-01,-1.103232473690000548e+00,2.000000000000000000e+00
9.163827135402947688e-01,5.000000000000000000e-01,-1.098227495300731160e+00,2.000000000000000000e+00
9.312009154069078587e-01,5.000000000000000000e-01,-1.092952776387319913e+00,2.000000000000000000e+00
9.460466416333306316e-01,4.999999999999999445e-01,-1.087588751075958537e+00,2.000000000000000000e+00
9.608607232707028212e-01,4.999999999999999445e-01,-1.082314333768150449e+00,1.999999999999999556e+00
9.755673458249132235e-01,4.999999999999999445e-01,-1.077289854887266474e+00,2.000000000000000000e+00
9.900531864419783723e-01,4.999999999999999445e-01,-1.072642666451387949e+00,2.000000000000000000e+00
1.004229829734806234e+00,4.999999999999999445e-01,-1.068456998379894607e+00,1.999999999999999778e+00
1.018165759300863060e+00,4.999999999999999445e-01,-1.064348237796708618e+00,1.999999999999999778e+00
1.033313173463339396e+00,4.999999999999998890e-01,-1.060804302433864921e+00,1.999999999999999778e+00
1.047950034590644286e+00,4.999999999999998890e-01,-1.057776641756617231e+00,1.999999999999999778e+00
1.062414068061918737e+00,5.000000000000000000e-01,-1.055188838080201696e+00,1.999999999999999778e+00
1.076914844377001135e+00,5.000000000000000000e-01,-1.052951716225875467e+00,1.999999999999999778e+00
1.091296486286802869e+00,5.000000000000001110e-01,-1.050976785626478671e+00,1.999999999999999778e+00
1.105047715581318535e+00,4.999999999999998890e-01,-1.049185906118014877e+00,1.999999999999999778e+00
1.117681755902872220e+00,4.999999999999999445e-01,-1.047516480987546572e+00,1.999999999999999778e+00
1.129016125752659638e+00,5.000000000000000000e-01,-1.045922320031309694e+00,1.999999999999999778e+00
1.139029618030927171e+00,5.000000000000000000e-01,-1.044372005643660506e+00,1.999999999999999778e+00
1.147609422654886524e+00,4.999999999999998890e-01,-1.042845705349789265e+00,1.999999999999999778e+00
1.154477652667762033e+00,5.000000000000000000e-01,-1.041331769180474431e+00,1.999999999999999778e+00
1.159227740403439011e+00,5.000000000000001110e-01,-1.039823816363928177e+00,1.999999999999999778e+00
1.161417076072499333e+00,5.000000000000000000e-01,-1.038318583260452455e+00,1.999999999999999778e+00
1.160740984579429647e+00,5.000000000000000000e-01,-1.036814508854369432e+00,1.999999999999999778e+00
1.157169578573431279e+00,5.000000000000000000e-01,-1.035310894010359917e+00,1.999999999999999778e+00
1.150895618092292683e+00,5.000000000000000000e-01,-1.033807445167046035e+00,1.999999999999999778e+00
1.142164073106818778e+00,5.000000000000001110e-01,-1.032303996323732154e+00,1.999999999999999778e+00
1.131249553011937747e+00,5.000000000000000000e-01,-1.030800547480418272e+00,1.999999999999999778e+00
1.118647363711566367e+00,4.999999999999998890e-01,-1.029297098637104391e+00,1.999999999999999778e+00
1.105105020707445984e+00,5.000000000000000000e-01,-1.027793649793790287e+00,1.999999999999999778e+00
1.091231944403873388e+00,5.000000000000000000e-01,-1.026290200950476628e+00,1.999999999999999778e+00
1.077111133870083171e+00,5.000000000000000000e-01,-1.024786752107162524e+00,1.999999999999999778e+00
1.062452989368829481e+00,5.000000000000000000e-01,-1.023283303263848643e+00,1.999999999999999778e+00
1.047081475679659590e+00,5.000000000000000000e-01,-1.021779854420534761e+00,1.999999999999999778e+00
1.031108679575872822e+00,5.000000000000000000e-01,-1.020276405577220880e+00,1.999999999999999778e+00
1.014676109640600954e+00,5.000000000000000000e-01,-1.018772956733907220e+00,1.999999999999999778e+00
9.977716303073914661e-01,4.999999999999998890e-01,-1.017269507890593117e+00,1.999999999999999778e+00
9.804304898082523145e-01,4.999999999999998890e-01,-1.015766059047279457e+00,1.999999999999999778e+00
9.629578053169881580e-01,5.000000000000000000e-01,-1.014262610203965354e+00,1.999999999999999778e+00
9.457837773107560242e-01,5.000000000000000000e-01,-1.012759161360651694e+00,1.999999999999999778e+00
