M1_P1,M1_P2,M2_P1,M2_P2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.186583308244892887e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.620600707313718303e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.757767111504084490e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.546285629755701052e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.315339497519033118e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.248002681238657541e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.233300634513976979e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.737406828179326901e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.605764304277682131e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.492489132638600946e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.428656279218006864e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.246800270979255609e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.091401315198063271e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.081567421735031731e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.071672974674618306e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.061112132417378229e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.036283814984155338e+00,2.000000000000000000e+00
8.107100641779311223e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.117588645831644634e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.880260308837208738e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.020404481840480937e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.768364351409888346e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.043275646879569196e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.088061403588674425e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.079767023870588538e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.091501683891351826e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.106498018636132397e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.127261228373735769e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.142548719127553847e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.102117037856892523e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.114911957994014102e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.216194564975417558e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.177181602354314904e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.200100878329211529e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.202406904914494756e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.166315999832250316e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.174411798915692806e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.184687200308020216e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.145888238592481567e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.125758303600070676e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.128058179925103044e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.089106965363173085e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.106446132764799861e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.026688708529929883e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
1.009858985134205911e+00,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.860036845342090572e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.459660232853935868e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.617467206731075136e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.731303425889592518e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
8.927801727907961338e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.146481661244769690e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
9.009105994970245668e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
8.712168358777341304e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
8.477839434178032763e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
7.859478134689877882e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
8.645730929770425455e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
8.518020129940062635e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
8.339088482210886832e-01,5.000000000000000000e-01,-1.003288973376007309e+00,2.000000000000000000e+00
