M1_P1,M1_P2,M2_P1,M2_P2
8.803165381991393534e-01,5.000000000000000000e-01,-1.134964529320301230e+00,2.000000000000000000e+00
8.744357915696229222e-01,5.000000000000000000e-01,-1.134893561820921715e+00,2.000000000000000000e+00
8.727711951754996145e-01,5.000000000000000000e-01,-1.134388668554809909e+00,2.000000000000000000e+00
8.695009481843964938e-01,5.000000000000000000e-01,-1.134660186493936740e+00,2.000000000000000000e+00
8.611695743687011184e-01,5.000000000000000000e-01,-1.134824800936277134e+00,2.000000000000000000e+00
8.574631251627898854e-01,5.000000000000000000e-01,-1.132695950289188680e+00,2.000000000000000000e+00
8.551332937967168757e-01,5.000000000000000000e-01,-1.131678017165554273e+00,2.000000000000000000e+00
8.590760248219935225e-01,5.000000000000000000e-01,-1.131367337322578326e+00,2.000000000000000000e+00
8.580737480998479327e-01,5.000000000000000000e-01,-1.130564107467010970e+00,2.000000000000000000e+00
8.652490349066196407e-01,5.000000000000000000e-01,-1.124954410768287838e+00,2.000000000000000000e+00
8.764257517462162861e-01,5.000000000000000000e-01,-1.124668805459182908e+00,2.000000000000000000e+00
8.864785112389654831e-01,5.000000000000000000e-01,-1.119874729539022562e+00,2.000000000000000000e+00
8.997732926337753678e-01,5.000000000000000000e-01,-1.117023681019320591e+00,2.000000000000000000e+00
9.125440854565999294e-01,5.000000000000000000e-01,-1.112454082892988305e+00,2.000000000000000000e+00
9.250338124147609031e-01,5.000000000000000000e-01,-1.106349616604232144e+00,2.000000000000000000e+00
9.378074802695666179e-01,5.000000000000000000e-01,-1.103967324873462275e+00,2.000000000000000000e+00
9.525080559786541778e-01,5.000000000000000000e-01,-1.096779702378267052e+00,2.000000000000000000e+00
9.647250035866640205e-01,5.000000000000000000e-01,-1.092580814907912368e+00,2.000000000000000000e+00
9.776294399784410949e-01,5.000000000000000000e-01,-1.089265188613742774e+00,2.000000000000000000e+00
9.896110347549373909e-01,5.000000000000000000e-01,-1.085370334830503936e+00,2.000000000000000000e+00
1.001587349886451594e+00,5.000000000000000000e-01,-1.082561121372663138e+00,2.000000000000000000e+00
1.019840110889790541e+00,5.000000000000000000e-01,-1.079449983549390257e+00,2.000000000000000000e+00
1.032241257340621887e+00,5.000000000000000000e-01,-1.076795339289121634e+00,2.000000000000000000e+00
1.046560574669258337e+00,5.000000000000000000e-01,-1.073983746037451059e+00,2.000000000000000000e+00
1.063558205723441619e+00,5.000000000000000000e-01,-1.072719044405661570e+00,2.000000000000000000e+00
1.076677570514588789e+00,5.000000000000000000e-01,-1.070792455489343098e+00,2.000000000000000000e+00
1.086033046269325952e+00,5.000000000000000000e-01,-1.070210985483113886e+00,2.000000000000000000e+00
1.104531916555239190e+00,5.000000000000000000e-01,-1.071504719266332062e+00,2.000000000000000000e+00
1.115718070269064111e+00,5.000000000000000000e-01,-1.067950626137525783e+00,2.000000000000000000e+00
1.127825902478787778e+00,5.000000000000000000e-01,-1.065904197510590512e+00,2.000000000000000000e+00
