M1_P1,M1_P2,M2_P1,M2_P2
9.056223424416969259e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.215411620460046915e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.196610280647111946e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.189065956055185946e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
7.902400314091340139e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.074942883330810117e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.220705169018013292e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.112209719337162284e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.982977889119818649e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.896957590298931740e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.646915663940832886e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.856909634069127568e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.260053206500724610e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.471693060231698436e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.384865540299216491e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.044535467008320673e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.014767824132948970e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.037392077763876763e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.099315659876038964e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.114576562393410741e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.077245609095392576e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.091805186402310834e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.156252921728300631e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.152742086267863453e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.163791142509030374e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.160750380717318508e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.224206306693835344e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.160016933190833655e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.174907420339996511e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.191642064280813429e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.129086714477226749e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.144255666889114398e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.148178343472645802e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.110281247727481269e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.139221283645784899e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.134808470915365630e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.064703997485392239e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.041346549603530125e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.092033400653490860e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.115363349977898322e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.073898885911140244e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.023602269001498088e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.037545623851261922e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.322133384694670788e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.078495864696147777e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.986351772806899563e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.077272757187909713e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.843896093320547935e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.393754165018569857e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.403880551864615356e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.011194283897199231e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.525554985270097363e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.297688273737040543e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.456062743027905615e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.235606476947020527e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.377483845790273387e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
